Program,Testcase,Iteration,Round,Time,Type
merge.c,1400,0,0,0.0027620792388916016,Reverse
quick2.c,1400,0,1,0.0035359859466552734,Reverse
merge.c,1400,0,1,0.0024950504302978516,Reverse
quick2.c,1400,0,2,0.0035042762756347656,Reverse
merge.c,1400,0,2,0.002541065216064453,Reverse
quick2.c,1400,0,3,0.003503084182739258,Reverse
merge.c,1400,0,3,0.0026018619537353516,Reverse
quick2.c,1400,0,4,0.0034418106079101562,Reverse
merge.c,1400,0,4,0.0025899410247802734,Reverse
quick2.c,1400,0,0,0.0027959346771240234,BestQuick
merge.c,1400,0,0,0.0024068355560302734,BestQuick
quick2.c,1400,0,1,0.0026998519897460938,BestQuick
merge.c,1400,0,1,0.0030488967895507812,BestQuick
quick2.c,1400,0,2,0.002855062484741211,BestQuick
merge.c,1400,0,2,0.0032989978790283203,BestQuick
quick2.c,1400,0,3,0.004470109939575195,BestQuick
merge.c,1400,0,3,0.002568960189819336,BestQuick
quick2.c,1400,0,4,0.002846956253051758,BestQuick
merge.c,1400,0,4,0.0028018951416015625,BestQuick
quick2.c,1600,0,0,0.0031588077545166016,Random
merge.c,1600,0,0,0.002880096435546875,Random
quick2.c,1600,0,1,0.002907991409301758,Random
merge.c,1600,0,1,0.0031239986419677734,Random
quick2.c,1600,0,2,0.003632068634033203,Random
merge.c,1600,0,2,0.0028891563415527344,Random
quick2.c,1600,0,3,0.0026092529296875,Random
merge.c,1600,0,3,0.002974987030029297,Random
quick2.c,1600,0,4,0.0026929378509521484,Random
merge.c,1600,0,4,0.003947019577026367,Random
quick2.c,1600,1,0,0.003566265106201172,Random
merge.c,1600,1,0,0.0028340816497802734,Random
quick2.c,1600,1,1,0.0025529861450195312,Random
merge.c,1600,1,1,0.002627134323120117,Random
quick2.c,1600,1,2,0.003349781036376953,Random
merge.c,1600,1,2,0.0034949779510498047,Random
quick2.c,1600,1,3,0.0028061866760253906,Random
merge.c,1600,1,3,0.002676248550415039,Random
quick2.c,1600,1,4,0.0025119781494140625,Random
merge.c,1600,1,4,0.003464937210083008,Random
quick2.c,1600,0,0,0.004509925842285156,Sorted
merge.c,1600,0,0,0.0038318634033203125,Sorted
quick2.c,1600,0,1,0.004738807678222656,Sorted
merge.c,1600,0,1,0.005615234375,Sorted
quick2.c,1600,0,2,0.004363059997558594,Sorted
merge.c,1600,0,2,0.0031328201293945312,Sorted
quick2.c,1600,0,3,0.003921031951904297,Sorted
merge.c,1600,0,3,0.0038537979125976562,Sorted
quick2.c,1600,0,4,0.004258632659912109,Sorted
merge.c,1600,0,4,0.0029680728912353516,Sorted
quick2.c,1600,0,0,0.004016876220703125,Reverse
merge.c,1600,0,0,0.003445148468017578,Reverse
quick2.c,1600,0,1,0.0050182342529296875,Reverse
merge.c,1600,0,1,0.0030558109283447266,Reverse
quick2.c,1600,0,2,0.004075050354003906,Reverse
merge.c,1600,0,2,0.0028629302978515625,Reverse
quick2.c,1600,0,3,0.004087209701538086,Reverse
merge.c,1600,0,3,0.004125833511352539,Reverse
quick2.c,1600,0,4,0.00417780876159668,Reverse
merge.c,1600,0,4,0.0026590824127197266,Reverse
quick2.c,1600,0,0,0.003590106964111328,BestQuick
merge.c,1600,0,0,0.0034360885620117188,BestQuick
quick2.c,1600,0,1,0.003275632858276367,BestQuick
merge.c,1600,0,1,0.0029969215393066406,BestQuick
quick2.c,1600,0,2,0.003130197525024414,BestQuick
merge.c,1600,0,2,0.002959012985229492,BestQuick
quick2.c,1600,0,3,0.0033788681030273438,BestQuick
merge.c,1600,0,3,0.0027599334716796875,BestQuick
quick2.c,1600,0,4,0.0027840137481689453,BestQuick
merge.c,1600,0,4,0.004214763641357422,BestQuick
quick2.c,1800,0,0,0.003936052322387695,Random
merge.c,1800,0,0,0.0030908584594726562,Random
quick2.c,1800,0,1,0.0027120113372802734,Random
merge.c,1800,0,1,0.002811908721923828,Random
quick2.c,1800,0,2,0.002788066864013672,Random
merge.c,1800,0,2,0.0034029483795166016,Random
quick2.c,1800,0,3,0.002947092056274414,Random
merge.c,1800,0,3,0.0028307437896728516,Random
quick2.c,1800,0,4,0.00298309326171875,Random
merge.c,1800,0,4,0.0029201507568359375,Random
quick2.c,1800,1,0,0.002652883529663086,Random
merge.c,1800,1,0,0.0028810501098632812,Random
quick2.c,1800,1,1,0.0033028125762939453,Random
merge.c,1800,1,1,0.0033140182495117188,Random
quick2.c,1800,1,2,0.002688169479370117,Random
merge.c,1800,1,2,0.0027747154235839844,Random
quick2.c,1800,1,3,0.002650022506713867,Random
merge.c,1800,1,3,0.003283977508544922,Random
quick2.c,1800,1,4,0.0031800270080566406,Random
merge.c,1800,1,4,0.0035898685455322266,Random
quick2.c,1800,0,0,0.005079984664916992,Sorted
merge.c,1800,0,0,0.014393806457519531,Sorted
quick2.c,1800,0,1,0.02028679847717285,Sorted
merge.c,1800,0,1,0.008686065673828125,Sorted
quick2.c,1800,0,2,0.008163928985595703,Sorted
merge.c,1800,0,2,0.010237932205200195,Sorted
quick2.c,1800,0,3,0.005049943923950195,Sorted
merge.c,1800,0,3,0.005010843276977539,Sorted
quick2.c,1800,0,4,0.004578113555908203,Sorted
merge.c,1800,0,4,0.003640890121459961,Sorted
quick2.c,1800,0,0,0.00522613525390625,Reverse
merge.c,1800,0,0,0.00741887092590332,Reverse
quick2.c,1800,0,1,0.006405830383300781,Reverse
merge.c,1800,0,1,0.006535768508911133,Reverse
quick2.c,1800,0,2,0.02921295166015625,Reverse
merge.c,1800,0,2,0.03251481056213379,Reverse
