Program,Testcase,Type,Iteration,Time,Program_Type
bubble.c,27200,sorted,1.5,1009.666562080385,bubble.c sorted
bubble.c,27400,random,0.5,2195.340931415556,bubble.c random
bubble.c,27400,reverse,1.5,1693.844377994535,bubble.c reverse
bubble.c,27400,sorted,1.5,1042.1005487441998,bubble.c sorted
bubble.c,27600,random,0.5,2217.310994863511,bubble.c random
bubble.c,27600,reverse,1.5,1709.62065458298,bubble.c reverse
bubble.c,27600,sorted,1.5,1053.751945495605,bubble.c sorted
bubble.c,27800,random,0.5,2289.59220647812,bubble.c random
bubble.c,27800,reverse,1.5,1750.289261341095,bubble.c reverse
bubble.c,27800,sorted,1.5,1061.058938503265,bubble.c sorted
bubble.c,28000,random,0.5,2284.8159372806563,bubble.c random
bubble.c,28000,reverse,1.5,1783.4909558296224,bubble.c reverse
bubble.c,28000,sorted,1.5,1090.1215076446524,bubble.c sorted
bubble.c,28200,random,0.5,2332.355439662934,bubble.c random
bubble.c,28200,reverse,1.5,1796.2139844894425,bubble.c reverse
bubble.c,28200,sorted,1.5,1093.432545661925,bubble.c sorted
bubble.c,28400,random,0.5,2398.20745587349,bubble.c random
